,prediction
367,1.5938333333333319
368,1.5831666666666657
369,1.1323333333333332
370,1.892166666666669
371,1.254916666666667
372,1.4219999999999995
373,1.3097500000000002
374,1.2488333333333328
375,1.4080833333333342
376,1.2326666666666664
377,1.618166666666665
378,1.4614166666666661
379,1.811916666666668
380,1.8436666666666648
381,1.8166666666666675
382,1.1900000000000002
383,1.3806666666666663
384,2.192416666666662
385,1.7595
386,2.3649999999999993
387,1.2974166666666649
388,1.4575833333333323
389,1.3579166666666647
390,0.9883333333333327
391,1.0304166666666668
392,0.9940833333333327
393,1.7585833333333327
394,0.7920833333333335
395,1.7567500000000016
396,1.3815833333333332
397,1.0797500000000018
398,1.7377499999999997
399,1.093249999999999
400,1.227499999999999
401,1.5702500000000001
402,1.3420833333333333
403,1.1275000000000015
404,1.1834166666666655
405,1.4082500000000013
406,1.4654166666666673
407,1.608166666666666
408,1.9470833333333308
409,1.2318333333333327
410,1.160916666666669
411,2.0079999999999973
412,1.1493333333333347
413,1.1203333333333343
414,1.7370000000000014
415,1.8178333333333287
416,1.3683333333333323
417,1.2932499999999998
418,1.2689166666666678
419,1.5510000000000013
420,1.2815833333333344
421,1.5499999999999985
422,2.0277500000000037
423,1.8593333333333313
424,2.2460833333333294
425,1.3388333333333338
426,1.4664999999999995
427,1.2518333333333327
428,1.6024166666666686
429,1.0235000000000005
430,1.370750000000001
431,0.9715000000000017
432,1.2528333333333344
433,1.1279166666666665
434,1.4757500000000001
435,1.231583333333333
436,0.8425833333333329
437,1.4684999999999997
438,1.7656666666666674
439,1.5237500000000008
440,1.1577499999999992
441,1.5538333333333343
442,1.282333333333333
443,1.8200833333333364
444,1.0955833333333322
445,0.8670000000000022
446,1.758583333333334
447,1.024249999999998
448,1.1317500000000003
449,1.4314999999999996
450,1.318666666666666
451,1.1323333333333316
452,1.173666666666666
453,1.684249999999999
454,1.2475833333333328
455,1.4895833333333326
456,1.8368333333333342
457,1.653083333333331
458,1.3636666666666681
459,1.1342500000000015
460,1.3802500000000009
461,1.4406666666666657
462,1.536583333333334
463,1.4742500000000003
464,2.011000000000001
465,1.289666666666666
466,1.0190833333333336
467,1.4455833333333328
468,1.0354166666666682
469,2.09425
470,2.101166666666667
471,1.4219999999999997
472,2.3583333333333325
473,1.339916666666666
474,1.3412499999999987
475,1.2430833333333327
476,0.9310833333333356
477,0.9225833333333333
478,1.8674166666666685
479,1.412249999999999
480,1.3132500000000003
481,1.3019166666666662
482,1.07725
483,1.0056666666666676
484,0.803916666666667
485,1.6793333333333318
486,0.9017500000000015
487,1.5290833333333347
488,1.6764166666666642
489,1.170416666666669
490,1.5910000000000006
491,1.128416666666666
492,2.0879166666666644
493,1.4663333333333324
494,1.0820000000000007
495,1.0368333333333315
496,1.0750000000000013
497,1.2991666666666668
498,1.6256666666666677
499,1.8175000000000037
500,0.9399166666666663
501,1.5046666666666657
502,1.1751666666666671
503,1.7071666666666647
504,0.7639166666666674
505,1.407916666666669
506,1.7662499999999999
507,1.4041666666666652
508,1.5225000000000013
509,1.8256666666666637
510,1.3771666666666682
511,0.9166666666666675
512,1.1562499999999987
513,1.3780833333333335
514,1.4575833333333341
515,0.8158333333333352
